image_number,ground_truth,predicted,status,num_wbcs_detected,has_multiple_gt,nucleus_features,cytoplasm_features
18,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 9473.0, 'circularity': 0.585942118597836, 'solidity': 0.8935949438732195, 'num_lobes': 1}","{'mean_hue': np.float64(102.38171299207647), 'texture_variance': np.float64(55.078012179555124), 'cn_ratio': np.float64(1.6709046968582537)}"
19,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 9916.0, 'circularity': 0.5544984469187596, 'solidity': 0.8927703250202575, 'num_lobes': 1}","{'mean_hue': np.float64(112.73364248507178), 'texture_variance': np.float64(59.68331825030671), 'cn_ratio': np.float64(1.6107643507623044)}"
20,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 5403.0, 'circularity': 0.5929319774147017, 'solidity': 0.8814748348152378, 'num_lobes': 1}","{'mean_hue': np.float64(69.5138030812544), 'texture_variance': np.float64(46.782126596386), 'cn_ratio': np.float64(2.3039639639639637)}"
21,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 8736.0, 'circularity': 0.7326980689383938, 'solidity': 0.9497200630537588, 'num_lobes': 1}","{'mean_hue': np.float64(87.93980014623446), 'texture_variance': np.float64(48.441875266205074), 'cn_ratio': np.float64(1.3816365473117072)}"
22,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 9549.5, 'circularity': 0.5483510521403447, 'solidity': 0.8698761158680999, 'num_lobes': 1}","{'mean_hue': np.float64(114.8126335396921), 'texture_variance': np.float64(63.44890587132126), 'cn_ratio': np.float64(1.8788471435923828)}"
23,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 8737.0, 'circularity': 0.2870302395094, 'solidity': 0.8141832075295872, 'num_lobes': 1}","{'mean_hue': np.float64(102.62082655385616), 'texture_variance': np.float64(57.44603726080072), 'cn_ratio': np.float64(1.704003548852168)}"
24,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 9461.0, 'circularity': 0.46874526386767523, 'solidity': 0.902422739412438, 'num_lobes': 1}","{'mean_hue': np.float64(107.23014875340456), 'texture_variance': np.float64(50.8580712580793), 'cn_ratio': np.float64(0.9964509394572025)}"
25,,,image_not_found,0,,,
26,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 7449.0, 'circularity': 0.614904734758338, 'solidity': 0.9486150907354346, 'num_lobes': 2}","{'mean_hue': np.float64(90.63238255033556), 'texture_variance': np.float64(60.94550130061708), 'cn_ratio': np.float64(0.8517936258396456)}"
27,,,image_not_found,0,,,
28,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 9339.5, 'circularity': 0.4720290694022548, 'solidity': 0.8681042896314543, 'num_lobes': 1}","{'mean_hue': np.float64(90.64144622848562), 'texture_variance': np.float64(56.153360773772846), 'cn_ratio': np.float64(0.9848691695108077)}"
29,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 9586.5, 'circularity': 0.5652205346800513, 'solidity': 0.9198330454807139, 'num_lobes': 1}","{'mean_hue': np.float64(105.4454053340375), 'texture_variance': np.float64(61.346930338379835), 'cn_ratio': np.float64(1.755679184051924)}"
30,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 8268.0, 'circularity': 0.41675510924186554, 'solidity': 0.8485657104736491, 'num_lobes': 1}","{'mean_hue': np.float64(110.61102046870364), 'texture_variance': np.float64(62.25089245163588), 'cn_ratio': np.float64(1.5885956644674835)}"
31,NEUTROPHIL,NEUTROPHIL,correct,2,True,"{'area': 6192.5, 'circularity': 0.6121133334417029, 'solidity': 0.8813692001138628, 'num_lobes': 1}","{'mean_hue': np.float64(103.0050744530405), 'texture_variance': np.float64(55.86641542732932), 'cn_ratio': np.float64(1.8915814319433517)}"
32,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 7691.5, 'circularity': 0.7429240895524448, 'solidity': 0.9422393727796153, 'num_lobes': 1}","{'mean_hue': np.float64(113.88434695912264), 'texture_variance': np.float64(59.950321925273265), 'cn_ratio': np.float64(1.6546604344239757)}"
33,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 8049.0, 'circularity': 0.49528406585099455, 'solidity': 0.8487372805398851, 'num_lobes': 1}","{'mean_hue': np.float64(104.23671232876713), 'texture_variance': np.float64(56.91012834959655), 'cn_ratio': np.float64(1.7688393506178823)}"
34,NEUTROPHIL,LYMPHOCYTE,incorrect,3,True,"{'area': 18892.5, 'circularity': 0.7281551132543025, 'solidity': 0.9653560205411206, 'num_lobes': 1}","{'mean_hue': np.float64(55.191338624620464), 'texture_variance': np.float64(41.37465488772806), 'cn_ratio': np.float64(0.9806205599665692)}"
35,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6884.0, 'circularity': 0.5034198124168221, 'solidity': 0.8371640520491305, 'num_lobes': 1}","{'mean_hue': np.float64(102.8652056641942), 'texture_variance': np.float64(56.86932866030794), 'cn_ratio': np.float64(2.0984859204754494)}"
36,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 7884.5, 'circularity': 0.221015567828986, 'solidity': 0.6925948699929726, 'num_lobes': 2}","{'mean_hue': np.float64(89.849608835711), 'texture_variance': np.float64(58.25993210825491), 'cn_ratio': np.float64(1.3639216670851118)}"
37,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 7098.0, 'circularity': 0.8030256020364314, 'solidity': 0.9709986320109439, 'num_lobes': 1}","{'mean_hue': np.float64(76.0807112269596), 'texture_variance': np.float64(48.28323928635967), 'cn_ratio': np.float64(1.4822685249068581)}"
38,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 7249.0, 'circularity': 0.7752141649163358, 'solidity': 0.9561432434214865, 'num_lobes': 1}","{'mean_hue': np.float64(72.62920757363254), 'texture_variance': np.float64(48.93848309956695), 'cn_ratio': np.float64(1.5407887628309023)}"
39,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 8527.0, 'circularity': 0.5963012228317569, 'solidity': 0.889155370177268, 'num_lobes': 1}","{'mean_hue': np.float64(102.27179085597253), 'texture_variance': np.float64(52.172525859954), 'cn_ratio': np.float64(1.9991570327552985)}"
40,MONOCYTE,LYMPHOCYTE,incorrect,2,False,"{'area': 20699.0, 'circularity': 0.4735588793767014, 'solidity': 0.9052502678708098, 'num_lobes': 1}","{'mean_hue': np.float64(51.70276214261751), 'texture_variance': np.float64(40.55148454212854), 'cn_ratio': np.float64(1.2807695980139406)}"
41,EOSINOPHIL,LYMPHOCYTE,incorrect,2,False,"{'area': 1954.5, 'circularity': 0.47171105440082733, 'solidity': 0.8882072256305386, 'num_lobes': 1}","{'mean_hue': np.float64(48.67918088737201), 'texture_variance': np.float64(32.23085289049282), 'cn_ratio': np.float64(1.9874031007751938)}"
42,EOSINOPHIL,NEUTROPHIL,incorrect,2,False,"{'area': 917.5, 'circularity': 0.7577047986058287, 'solidity': 0.9395801331285202, 'num_lobes': 1}","{'mean_hue': np.float64(87.11662987490801), 'texture_variance': np.float64(48.06924227928058), 'cn_ratio': np.float64(2.787692307692308)}"
43,NEUTROPHIL,EOSINOPHIL,incorrect,2,True,"{'area': 6332.0, 'circularity': 0.6233547302467318, 'solidity': 0.8833705357142857, 'num_lobes': 1}","{'mean_hue': np.float64(76.43422744809847), 'texture_variance': np.float64(47.926178141890325), 'cn_ratio': np.float64(1.7389776357827476)}"
44,EOSINOPHIL,EOSINOPHIL,correct,2,True,"{'area': 4830.5, 'circularity': 0.6381862028366108, 'solidity': 0.8855178735105408, 'num_lobes': 1}","{'mean_hue': np.float64(119.85865775711795), 'texture_variance': np.float64(51.76899418300982), 'cn_ratio': np.float64(1.3848320257493463)}"
45,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 6266.5, 'circularity': 0.5102855909060184, 'solidity': 0.8240515484252745, 'num_lobes': 1}","{'mean_hue': np.float64(89.50183882315318), 'texture_variance': np.float64(47.11076553474596), 'cn_ratio': np.float64(1.9952145477747647)}"
46,NEUTROPHIL,EOSINOPHIL,incorrect,1,False,"{'area': 5776.0, 'circularity': 0.5462845891573582, 'solidity': 0.8568461652573802, 'num_lobes': 1}","{'mean_hue': np.float64(120.9985447489692), 'texture_variance': np.float64(56.03310051944426), 'cn_ratio': np.float64(1.3868146653212243)}"
47,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 6862.0, 'circularity': 0.7953017451307749, 'solidity': 0.9638317297563032, 'num_lobes': 1}","{'mean_hue': np.float64(68.78618122389686), 'texture_variance': np.float64(54.455737417775126), 'cn_ratio': np.float64(1.5714081894706806)}"
48,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 5623.5, 'circularity': 0.2242153753774631, 'solidity': 0.620935239882957, 'num_lobes': 1}","{'mean_hue': np.float64(71.05563502220883), 'texture_variance': np.float64(38.68226336321292), 'cn_ratio': np.float64(2.260551395507148)}"
49,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 5438.5, 'circularity': 0.5253062041270333, 'solidity': 0.8534327187132209, 'num_lobes': 1}","{'mean_hue': np.float64(71.1606417747846), 'texture_variance': np.float64(50.30284483552033), 'cn_ratio': np.float64(1.9864253393665159)}"
50,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 7982.0, 'circularity': 0.5242297061507437, 'solidity': 0.8725404459991255, 'num_lobes': 2}","{'mean_hue': np.float64(96.13168034846709), 'texture_variance': np.float64(56.60270216692538), 'cn_ratio': np.float64(1.4837186179468058)}"
51,,,image_not_found,0,,,
52,NEUTROPHIL,EOSINOPHIL,incorrect,1,False,"{'area': 7030.5, 'circularity': 0.41303498250729254, 'solidity': 0.8324551536321118, 'num_lobes': 1}","{'mean_hue': np.float64(101.78669761485513), 'texture_variance': np.float64(56.470747751781424), 'cn_ratio': np.float64(1.7254522855959122)}"
53,NEUTROPHIL,EOSINOPHIL,incorrect,1,False,"{'area': 8804.0, 'circularity': 0.6793071134387799, 'solidity': 0.9518352343369912, 'num_lobes': 3}","{'mean_hue': np.float64(92.0200585039699), 'texture_variance': np.float64(49.174471411515235), 'cn_ratio': np.float64(1.5318141083087953)}"
54,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 4976.0, 'circularity': 0.8005492530217764, 'solidity': 0.9651828144699836, 'num_lobes': 1}","{'mean_hue': np.float64(81.20826936853956), 'texture_variance': np.float64(50.9449009479081), 'cn_ratio': np.float64(1.9155067633797294)}"
55,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 5800.5, 'circularity': 0.7808915430854823, 'solidity': 0.961701069385725, 'num_lobes': 1}","{'mean_hue': np.float64(96.75724761255115), 'texture_variance': np.float64(50.72253845666625), 'cn_ratio': np.float64(1.9760741364785173)}"
56,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 6017.0, 'circularity': 0.4898647951624788, 'solidity': 0.8075968055835179, 'num_lobes': 1}","{'mean_hue': np.float64(99.12022900763358), 'texture_variance': np.float64(49.53538341279067), 'cn_ratio': np.float64(1.8623586429725363)}"
57,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 6588.0, 'circularity': 0.558297354340362, 'solidity': 0.8716591690923525, 'num_lobes': 1}","{'mean_hue': np.float64(72.57242582897034), 'texture_variance': np.float64(47.49289583688897), 'cn_ratio': np.float64(1.6105029585798816)}"
58,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 6425.5, 'circularity': 0.5877937618275024, 'solidity': 0.8701333875008463, 'num_lobes': 1}","{'mean_hue': np.float64(98.65640613847252), 'texture_variance': np.float64(47.04565525873484), 'cn_ratio': np.float64(1.7012750455373407)}"
59,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 4686.0, 'circularity': 0.21941729401212873, 'solidity': 0.6593963273059875, 'num_lobes': 1}","{'mean_hue': np.float64(75.78842729970326), 'texture_variance': np.float64(50.734024533298886), 'cn_ratio': np.float64(2.054043071921983)}"
60,,,image_not_found,0,,,
61,,,image_not_found,0,,,
62,EOSINOPHIL,EOSINOPHIL,correct,2,False,"{'area': 2564.5, 'circularity': 0.4907124891957781, 'solidity': 0.807843754922035, 'num_lobes': 1}","{'mean_hue': np.float64(76.43427035965274), 'texture_variance': np.float64(65.65045809998392), 'cn_ratio': np.float64(1.804550540842969)}"
63,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 5891.0, 'circularity': 0.50831304109157, 'solidity': 0.8467730343538882, 'num_lobes': 1}","{'mean_hue': np.float64(94.16561950238753), 'texture_variance': np.float64(55.60071447956481), 'cn_ratio': np.float64(2.0031884544386642)}"
64,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 5836.5, 'circularity': 0.5201060557786287, 'solidity': 0.8156092789267747, 'num_lobes': 1}","{'mean_hue': np.float64(99.74704431402569), 'texture_variance': np.float64(53.25392925085163), 'cn_ratio': np.float64(1.9575424575424576)}"
65,NEUTROPHIL,NEUTROPHIL,correct,2,True,"{'area': 7458.5, 'circularity': 0.6001699866757769, 'solidity': 0.904060606060606, 'num_lobes': 1}","{'mean_hue': np.float64(96.28111374588848), 'texture_variance': np.float64(48.45188582605082), 'cn_ratio': np.float64(1.7253530421010954)}"
66,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 9177.5, 'circularity': 0.5194729459787459, 'solidity': 0.8802090826260011, 'num_lobes': 1}","{'mean_hue': np.float64(103.55851671362217), 'texture_variance': np.float64(52.269748636864406), 'cn_ratio': np.float64(1.4849615558570783)}"
67,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 5950.5, 'circularity': 0.3544304343825123, 'solidity': 0.8164231323317555, 'num_lobes': 1}","{'mean_hue': np.float64(89.05869235572206), 'texture_variance': np.float64(44.78436253319479), 'cn_ratio': np.float64(1.8202630297126157)}"
68,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 5309.5, 'circularity': 0.6714095251711177, 'solidity': 0.9108766512266255, 'num_lobes': 1}","{'mean_hue': np.float64(101.83022342253867), 'texture_variance': np.float64(54.88579630013968), 'cn_ratio': np.float64(1.4938565927012653)}"
69,EOSINOPHIL,NEUTROPHIL,incorrect,2,False,"{'area': 2566.0, 'circularity': 0.27222579437904404, 'solidity': 0.646917937728476, 'num_lobes': 2}","{'mean_hue': np.float64(81.29942150408937), 'texture_variance': np.float64(50.470668860205436), 'cn_ratio': np.float64(1.8396330275229358)}"
70,EOSINOPHIL,NEUTROPHIL,incorrect,2,True,"{'area': 6033.5, 'circularity': 0.5227622013027136, 'solidity': 0.8490114683740237, 'num_lobes': 1}","{'mean_hue': np.float64(84.38720092722907), 'texture_variance': np.float64(50.51786073662844), 'cn_ratio': np.float64(1.946969696969697)}"
71,NEUTROPHIL,EOSINOPHIL,incorrect,1,False,"{'area': 6184.5, 'circularity': 0.5687221656626384, 'solidity': 0.905159165751921, 'num_lobes': 1}","{'mean_hue': np.float64(87.372830104155), 'texture_variance': np.float64(52.90466839224599), 'cn_ratio': np.float64(1.4350691096110575)}"
72,NEUTROPHIL,EOSINOPHIL,incorrect,1,False,"{'area': 6401.0, 'circularity': 0.5353527521639014, 'solidity': 0.8529548937304284, 'num_lobes': 1}","{'mean_hue': np.float64(92.92440010320804), 'texture_variance': np.float64(52.851597595507776), 'cn_ratio': np.float64(1.8529083665338646)}"
73,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6104.5, 'circularity': 0.6582403758091483, 'solidity': 0.9165915915915915, 'num_lobes': 1}","{'mean_hue': np.float64(92.5648193558934), 'texture_variance': np.float64(47.63608944421982), 'cn_ratio': np.float64(1.954625339511104)}"
74,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6746.5, 'circularity': 0.6253189553946165, 'solidity': 0.896247093988708, 'num_lobes': 1}","{'mean_hue': np.float64(89.61643948781496), 'texture_variance': np.float64(51.82891090811656), 'cn_ratio': np.float64(1.7507954874168354)}"
75,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 6080.5, 'circularity': 0.5150206008679943, 'solidity': 0.8399640834369388, 'num_lobes': 3}","{'mean_hue': np.float64(92.0968646179402), 'texture_variance': np.float64(52.51782709179534), 'cn_ratio': np.float64(1.768637532133676)}"
76,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 7542.5, 'circularity': 0.811945263741739, 'solidity': 0.9674833247819394, 'num_lobes': 1}","{'mean_hue': np.float64(70.33908432923751), 'texture_variance': np.float64(51.91040082440015), 'cn_ratio': np.float64(1.54452099311062)}"
77,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 5813.0, 'circularity': 0.4894871651264502, 'solidity': 0.8738068395340097, 'num_lobes': 1}","{'mean_hue': np.float64(108.14032228861126), 'texture_variance': np.float64(50.86886579582316), 'cn_ratio': np.float64(1.843765648472709)}"
78,NEUTROPHIL,NEUTROPHIL,correct,2,False,"{'area': 1625.0, 'circularity': 0.7329759642627508, 'solidity': 0.9285714285714286, 'num_lobes': 1}","{'mean_hue': np.float64(96.41243961352657), 'texture_variance': np.float64(56.50847808218978), 'cn_ratio': np.float64(1.945945945945946)}"
79,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6221.5, 'circularity': 0.4935410058542948, 'solidity': 0.8588487023743788, 'num_lobes': 1}","{'mean_hue': np.float64(82.46082053276298), 'texture_variance': np.float64(42.788227753714125), 'cn_ratio': np.float64(1.606936416184971)}"
80,,,image_not_found,0,,,
81,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6085.0, 'circularity': 0.5182801113886301, 'solidity': 0.8702180908115839, 'num_lobes': 1}","{'mean_hue': np.float64(89.99179974104446), 'texture_variance': np.float64(49.19696239295637), 'cn_ratio': np.float64(1.8509346540980987)}"
82,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 5328.0, 'circularity': 0.45071554468917474, 'solidity': 0.7718942412169504, 'num_lobes': 1}","{'mean_hue': np.float64(71.28168901660281), 'texture_variance': np.float64(39.5050259576913), 'cn_ratio': np.float64(2.2774041083439376)}"
83,MONOCYTE,LYMPHOCYTE,incorrect,1,False,"{'area': 14216.0, 'circularity': 0.689315852244635, 'solidity': 0.9408338848444738, 'num_lobes': 2}","{'mean_hue': np.float64(79.39490713001797), 'texture_variance': np.float64(40.739977509018836), 'cn_ratio': np.float64(1.1653400363077782)}"
84,,,image_not_found,0,,,
85,,,image_not_found,0,,,
86,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6347.5, 'circularity': 0.5513724715680339, 'solidity': 0.8658436775337608, 'num_lobes': 1}","{'mean_hue': np.float64(87.13243243243244), 'texture_variance': np.float64(45.77548266130818), 'cn_ratio': np.float64(2.1000153397760393)}"
87,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 5253.5, 'circularity': 0.4688629647689959, 'solidity': 0.8274531422271224, 'num_lobes': 1}","{'mean_hue': np.float64(89.84593789876648), 'texture_variance': np.float64(49.27860735298029), 'cn_ratio': np.float64(2.166021743136171)}"
88,EOSINOPHIL,LYMPHOCYTE,incorrect,1,False,"{'area': 6884.0, 'circularity': 0.6732736854894098, 'solidity': 0.9326649505487061, 'num_lobes': 1}","{'mean_hue': np.float64(81.85224676313786), 'texture_variance': np.float64(53.912648579745344), 'cn_ratio': np.float64(1.5055181310018633)}"
89,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 11621.0, 'circularity': 0.6801608660291228, 'solidity': 0.9325522609637684, 'num_lobes': 1}","{'mean_hue': np.float64(80.48312925923874), 'texture_variance': np.float64(46.28847841800604), 'cn_ratio': np.float64(1.5259553601623266)}"
90,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 5035.0, 'circularity': 0.4960659809559428, 'solidity': 0.8223764801959984, 'num_lobes': 1}","{'mean_hue': np.float64(97.02346587205513), 'texture_variance': np.float64(52.618808587171685), 'cn_ratio': np.float64(2.065986918045402)}"
91,NEUTROPHIL,LYMPHOCYTE,incorrect,1,False,"{'area': 6713.5, 'circularity': 0.7297645845017028, 'solidity': 0.9500459916507464, 'num_lobes': 1}","{'mean_hue': np.float64(91.19305346385542), 'texture_variance': np.float64(48.41530498937107), 'cn_ratio': np.float64(1.6657259328943241)}"
92,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 6105.0, 'circularity': 0.37819376046188496, 'solidity': 0.7955433932759969, 'num_lobes': 1}","{'mean_hue': np.float64(94.84998007174173), 'texture_variance': np.float64(53.56620025064015), 'cn_ratio': np.float64(2.0217566478646254)}"
93,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 6021.5, 'circularity': 0.5719701154279238, 'solidity': 0.8818188474774841, 'num_lobes': 1}","{'mean_hue': np.float64(94.61994917407878), 'texture_variance': np.float64(49.64116473378552), 'cn_ratio': np.float64(1.2718164188752423)}"
94,EOSINOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 14619.0, 'circularity': 0.3732186880475276, 'solidity': 0.8179605539236257, 'num_lobes': 1}","{'mean_hue': np.float64(93.75035483362245), 'texture_variance': np.float64(57.56847427150642), 'cn_ratio': np.float64(0.8490894483128013)}"
95,EOSINOPHIL,NEUTROPHIL,incorrect,2,False,"{'area': 8876.5, 'circularity': 0.3310904186770373, 'solidity': 0.7306362663593712, 'num_lobes': 2}","{'mean_hue': np.float64(110.02401579120517), 'texture_variance': np.float64(75.42603949694117), 'cn_ratio': np.float64(1.000329091706889)}"
96,EOSINOPHIL,,image_not_found,0,,,
97,EOSINOPHIL,,no_wbc_detected,0,,,
98,NEUTROPHIL,NEUTROPHIL,correct,3,False,"{'area': 3359.5, 'circularity': 0.3180140298324627, 'solidity': 0.7014302119219126, 'num_lobes': 1}","{'mean_hue': np.float64(110.23884970157353), 'texture_variance': np.float64(73.83041481177479), 'cn_ratio': np.float64(2.6156684643769514)}"
99,LYMPHOCYTE,LYMPHOCYTE,correct,1,False,"{'area': 10289.0, 'circularity': 0.7597372647796685, 'solidity': 0.9664208894942, 'num_lobes': 1}","{'mean_hue': np.float64(48.87278701716738), 'texture_variance': np.float64(41.067606064304), 'cn_ratio': np.float64(1.424123770413523)}"
